elapsed_s,elapsed_hms,bus_voltage_V,shunt_voltage_mV,load_voltage_V,current_mA,power_mW
24210,06:43:30,4.592,2.140,4.594,21.400,98.000
24240,06:44:00,4.592,2.130,4.594,21.400,98.000
24270,06:44:30,4.596,2.100,4.598,21.300,96.000
24300,06:45:00,4.592,2.090,4.594,21.000,96.000
24330,06:45:30,4.592,2.000,4.594,20.100,92.000
24360,06:46:00,4.592,2.050,4.594,20.900,96.000
24390,06:46:30,4.588,2.030,4.590,20.700,92.000
24420,06:47:00,4.584,2.080,4.586,19.900,92.000
24450,06:47:30,4.604,1.950,4.606,19.900,92.000
24480,06:48:00,4.592,1.790,4.594,18.100,82.000
24510,06:48:30,4.460,0.740,4.461,7.500,32.000
24540,06:49:00,4.464,0.770,4.465,7.500,32.000
24570,06:49:30,4.460,0.730,4.461,7.300,32.000
24600,06:50:00,4.536,1.080,4.537,10.700,50.000
24630,06:50:30,4.544,1.110,4.545,11.000,50.000
24660,06:51:00,4.564,1.290,4.565,12.400,56.000
24690,06:51:30,4.556,1.180,4.557,12.000,56.000
24720,06:52:00,4.544,1.070,4.545,11.100,50.000
24750,06:52:30,4.488,0.800,4.489,7.900,36.000
24780,06:53:00,4.464,0.750,4.465,7.100,32.000
24810,06:53:30,4.548,1.040,4.549,10.500,50.000
24840,06:54:00,4.544,1.060,4.545,10.700,50.000
24870,06:54:30,4.548,1.080,4.549,11.000,50.000
24900,06:55:00,4.548,1.050,4.549,10.800,50.000
24930,06:55:30,4.536,1.090,4.537,10.400,46.000
24960,06:56:00,4.540,1.100,4.541,10.400,50.000
24990,06:56:30,4.548,1.070,4.549,10.800,50.000
25020,06:57:00,4.552,1.060,4.553,10.700,50.000
25050,06:57:30,4.548,1.050,4.549,10.600,50.000
25080,06:58:00,4.536,0.980,4.537,10.200,46.000
25110,06:58:30,4.516,0.930,4.517,9.300,40.000
25140,06:59:00,4.484,0.780,4.485,7.900,36.000
25170,06:59:30,4.468,0.760,4.469,7.900,36.000
25200,07:00:00,4.464,0.760,4.465,7.300,32.000
25230,07:00:30,4.456,0.700,4.457,7.100,32.000
25260,07:01:00,4.460,0.750,4.461,7.300,32.000
25290,07:01:30,4.464,0.750,4.465,7.600,32.000
25320,07:02:00,4.452,0.690,4.453,7.000,32.000
25350,07:02:30,4.444,0.690,4.445,6.900,30.000
25380,07:03:00,4.432,0.660,4.433,6.300,30.000
25410,07:03:30,4.416,0.610,4.417,6.300,26.000
25440,07:04:00,4.404,0.560,4.405,5.700,26.000
25470,07:04:30,4.420,0.630,4.421,6.100,26.000
25500,07:05:00,4.392,0.560,4.393,5.500,22.000
25530,07:05:30,4.384,0.560,4.385,5.200,22.000
25560,07:06:00,4.396,0.560,4.397,5.500,26.000
25590,07:06:30,4.412,0.610,4.413,6.100,26.000
25620,07:07:00,4.436,0.670,4.437,6.400,30.000
25650,07:07:30,4.444,0.680,4.445,6.600,30.000
25680,07:08:00,4.436,0.680,4.437,6.500,30.000
25710,07:08:30,4.432,0.650,4.433,6.600,30.000
25740,07:09:00,4.436,0.670,4.437,6.700,30.000
25770,07:09:30,4.452,0.670,4.453,6.700,30.000
25800,07:10:00,4.488,0.800,4.489,7.700,36.000
25830,07:10:30,4.512,0.830,4.513,8.200,40.000
25860,07:11:00,4.512,0.870,4.513,8.700,40.000
25890,07:11:30,4.536,0.970,4.537,9.600,46.000
25920,07:12:00,4.524,0.910,4.525,9.200,42.000
25950,07:12:30,4.540,0.970,4.541,9.600,42.000
25980,07:13:00,4.532,0.940,4.533,9.400,42.000
26010,07:13:30,4.556,1.030,4.557,10.500,50.000
26040,07:14:00,4.588,1.190,4.589,12.300,56.000
26070,07:14:30,4.608,1.450,4.609,14.100,66.000
26100,07:15:00,4.616,1.590,4.618,15.800,72.000
26130,07:15:30,4.628,1.850,4.630,18.200,86.000
26160,07:16:00,4.648,2.010,4.650,21.000,96.000
26190,07:16:30,4.656,1.950,4.658,19.500,92.000
26220,07:17:00,4.640,2.210,4.642,22.200,102.000
26250,07:17:30,4.648,2.170,4.650,21.900,102.000
26280,07:18:00,4.652,2.240,4.654,21.800,102.000
26310,07:18:30,4.640,2.280,4.642,22.500,104.000
26340,07:19:00,4.660,2.250,4.662,22.900,104.000
26370,07:19:30,4.652,2.320,4.654,22.800,104.000
26400,07:20:00,4.664,2.250,4.666,22.700,108.000
26430,07:20:30,4.652,2.220,4.654,22.800,104.000
26460,07:21:00,4.648,2.230,4.650,22.200,104.000
26490,07:21:30,4.648,2.250,4.650,22.900,108.000
26520,07:22:00,4.668,2.300,4.670,22.200,104.000
26550,07:22:30,4.660,1.970,4.662,19.800,92.000
26580,07:23:00,4.656,2.140,4.658,21.200,98.000
26610,07:23:30,4.676,2.260,4.678,22.500,104.000
26640,07:24:00,4.672,2.210,4.674,22.200,104.000
26670,07:24:30,4.672,2.210,4.674,21.800,102.000
26700,07:25:00,4.668,2.130,4.670,21.500,102.000
26730,07:25:30,4.664,2.150,4.666,21.600,102.000
26760,07:26:00,4.668,2.130,4.670,21.500,102.000
26790,07:26:30,4.672,2.210,4.674,22.000,102.000
26820,07:27:00,4.668,1.960,4.670,19.700,92.000
26850,07:27:30,4.680,2.290,4.682,22.500,108.000
26880,07:28:00,4.668,2.240,4.670,22.900,108.000
26910,07:28:30,4.680,2.240,4.682,22.200,108.000
26940,07:29:00,4.672,2.230,4.674,22.500,104.000
26970,07:29:30,4.668,2.180,4.670,22.100,104.000
27000,07:30:00,4.676,2.180,4.678,22.200,102.000
27030,07:30:30,4.676,2.160,4.678,21.300,102.000
27060,07:31:00,4.656,1.970,4.658,19.900,92.000
27090,07:31:30,4.660,1.900,4.662,19.300,88.000
27120,07:32:00,4.648,2.000,4.650,20.000,92.000
27150,07:32:30,4.648,1.990,4.650,19.900,92.000
27180,07:33:00,4.656,1.870,4.658,18.700,86.000
27210,07:33:30,4.648,1.640,4.650,16.700,76.000
27240,07:34:00,4.644,1.790,4.646,18.200,86.000
27270,07:34:30,4.640,1.640,4.642,16.400,76.000
27300,07:35:00,4.644,1.670,4.646,16.600,78.000
27330,07:35:30,4.640,1.580,4.642,15.300,72.000
27360,07:36:00,4.584,1.110,4.585,11.000,50.000
27390,07:36:30,4.560,0.970,4.561,9.900,46.000
27420,07:37:00,4.608,1.330,4.609,13.200,62.000
27450,07:37:30,4.612,1.300,4.613,13.200,62.000
27480,07:38:00,4.584,1.150,4.585,11.400,52.000
27510,07:38:30,4.588,1.200,4.589,11.800,56.000
27540,07:39:00,4.572,1.100,4.573,10.800,50.000
27570,07:39:30,4.636,1.470,4.637,14.600,68.000
27600,07:40:00,4.636,1.510,4.638,15.100,68.000
27630,07:40:30,4.620,1.370,4.621,13.800,66.000
27660,07:41:00,4.488,0.760,4.489,7.600,32.000
27690,07:41:30,4.452,0.650,4.453,7.000,30.000
27720,07:42:00,4.428,0.620,4.429,6.100,26.000
27750,07:42:30,4.420,0.580,4.421,5.600,26.000
27780,07:43:00,4.408,0.540,4.409,5.400,22.000
27810,07:43:30,4.400,0.540,4.401,5.300,22.000
27840,07:44:00,4.388,0.550,4.389,5.100,22.000
27870,07:44:30,4.388,0.510,4.389,4.900,22.000
27900,07:45:00,4.392,0.530,4.393,5.200,22.000
27930,07:45:30,4.404,0.520,4.405,5.200,22.000
27960,07:46:00,4.404,0.550,4.405,5.300,22.000
27990,07:46:30,4.408,0.530,4.409,5.500,22.000
28020,07:47:00,4.416,0.550,4.417,5.900,26.000
28050,07:47:30,4.452,0.630,4.453,6.300,30.000
28080,07:48:00,4.460,0.680,4.461,6.700,30.000
28110,07:48:30,4.448,0.670,4.449,6.300,30.000
