millis,elapsed_hms,pv_left,pv_right,angle,bus_v,current_mA,power_mW
30000,00:00:30,836.000,836.000,90.000,4.492,30.300,138.000
60000,00:01:00,705.000,750.000,92.000,4.236,127.900,544.000
90000,00:01:30,1023.000,931.000,90.000,5.756,4.100,22.000
120000,00:02:00,1023.000,977.000,88.000,6.488,5.000,32.000
150000,00:02:30,1023.000,984.000,86.000,6.480,4.500,30.000
180000,00:03:00,1023.000,983.000,84.000,6.472,4.800,32.000
210000,00:03:30,1023.000,982.000,82.000,6.468,5.000,32.000
240000,00:04:00,1023.000,978.000,80.000,6.456,4.900,32.000
270000,00:04:30,1023.000,979.000,78.000,6.452,4.900,30.000
300000,00:05:00,1023.000,978.000,76.000,6.448,4.800,30.000
330000,00:05:30,1023.000,977.000,74.000,6.444,4.900,32.000
360000,00:06:00,1023.000,977.000,72.000,6.440,4.900,32.000
390000,00:06:30,1023.000,977.000,70.000,6.436,5.000,32.000
420000,00:07:00,1023.000,976.000,68.000,6.436,4.700,30.000
450000,00:07:30,1023.000,976.000,66.000,6.436,4.800,32.000
480000,00:08:00,1023.000,976.000,64.000,6.432,4.900,32.000
510000,00:08:30,1023.000,975.000,62.000,6.424,5.000,30.000
540000,00:09:00,1023.000,975.000,60.000,6.424,4.800,30.000
570000,00:09:30,1023.000,976.000,58.000,6.424,4.600,30.000
600000,00:10:00,1023.000,976.000,56.000,6.424,5.000,30.000
630000,00:10:30,1023.000,977.000,54.000,6.424,4.900,32.000
660000,00:11:00,1023.000,977.000,52.000,6.420,4.700,30.000
690000,00:11:30,1023.000,977.000,50.000,6.424,4.800,30.000
720000,00:12:00,1023.000,978.000,48.000,6.420,4.900,32.000
750000,00:12:30,1023.000,979.000,46.000,6.420,4.900,32.000
780000,00:13:00,1023.000,979.000,44.000,6.420,4.900,32.000
810000,00:13:30,1023.000,979.000,42.000,6.416,4.600,30.000
840000,00:14:00,1023.000,979.000,40.000,6.416,4.600,30.000
870000,00:14:30,1023.000,979.000,38.000,6.416,4.800,30.000
900000,00:15:00,1023.000,978.000,36.000,6.412,4.700,30.000
930000,00:15:30,1023.000,978.000,34.000,6.412,4.900,32.000
960000,00:16:00,1023.000,978.000,32.000,6.412,5.000,32.000
990000,00:16:30,1023.000,978.000,30.000,6.412,4.600,30.000
1020000,00:17:00,1023.000,979.000,28.000,6.404,4.800,30.000
1050000,00:17:30,1023.000,979.000,26.000,6.408,4.500,30.000
1080000,00:18:00,1023.000,980.000,24.000,6.408,4.600,30.000
1110000,00:18:30,1023.000,980.000,22.000,6.408,4.800,32.000
1140000,00:19:00,1023.000,980.000,20.000,6.404,4.800,30.000
1170000,00:19:30,1023.000,981.000,18.000,6.408,5.100,32.000
1200000,00:20:00,1023.000,982.000,16.000,6.408,4.900,30.000
1230000,00:20:30,1023.000,982.000,15.000,6.404,4.800,30.000
1260000,00:21:00,1023.000,982.000,15.000,6.404,4.800,30.000
1290000,00:21:30,1023.000,982.000,15.000,6.404,4.800,30.000
1320000,00:22:00,1023.000,982.000,15.000,6.408,5.100,32.000
1350000,00:22:30,1023.000,983.000,15.000,6.408,4.700,30.000
1380000,00:23:00,1023.000,983.000,15.000,6.408,4.900,30.000
1410000,00:23:30,1023.000,983.000,15.000,6.408,4.600,30.000
1440000,00:24:00,1023.000,983.000,15.000,6.408,5.000,32.000
1470000,00:24:30,1023.000,983.000,15.000,6.408,5.200,30.000
1500000,00:25:00,1023.000,983.000,15.000,6.408,4.800,30.000
1530000,00:25:30,1023.000,983.000,15.000,6.408,4.800,30.000
1560000,00:26:00,1023.000,984.000,15.000,6.412,5.000,32.000
1590000,00:26:30,1023.000,984.000,15.000,6.412,4.800,30.000
1620000,00:27:00,1023.000,984.000,15.000,6.412,5.000,30.000
1650000,00:27:30,1023.000,984.000,15.000,6.412,5.000,30.000
1680000,00:28:00,1023.000,984.000,15.000,6.416,4.500,30.000
1710000,00:28:30,1023.000,984.000,15.000,6.412,5.000,32.000
1740000,00:29:00,1023.000,984.000,15.000,6.416,5.000,32.000
1770000,00:29:30,1023.000,984.000,15.000,6.416,4.700,30.000
1800000,00:30:00,1023.000,984.000,15.000,6.416,4.800,30.000
